candidate_id,date,weekday,posted_time,author_id,origin_candidate,origin_category_candidate,dest_candidate,dest_category_candidate,waypoints_candidate,stop_count_candidate,source_file,source_line,raw_text_redacted,review_status,candidate_reason
omit_0001,2024-05-07,화,09:03,u0441,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,860,9:35 유야>오흡 카풀 톡방 >> 5명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0002,2024-05-07,화,17:08,u0441,오흡,학교,토시래,원룸촌,비벤,3,Talk_2026.9.15 11:45-1.txt,1018,5:20 오흡>비벤>토시래 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0003,2024-05-09,목,11:55,u0441,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,1585,12:10 유야>오흡 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0004,2024-05-12,일,10:03,u0076,그할마,원룸촌,예성,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,2210,10:45 그할마예성>채플 <PHONE>(2/4),human_review_required,2+ known places and route/mode marker
omit_0005,2024-05-20,월,10:37,u0441,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,4392,11:00 유야>오흡 카풀 톡방 >> 4명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0006,2024-05-20,월,14:11,u0441,오흡,학교,토시래,원룸촌,비벤,3,Talk_2026.9.15 11:45-1.txt,4455,2:20 오흡>비벤>토시래 카풀 톡방 >> 7명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0007,2024-05-21,화,09:06,u0441,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,4660,9:35 유야>오흡 카풀 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0008,2024-05-22,수,17:21,u0441,오흡,학교,토시래,원룸촌,비벤,3,Talk_2026.9.15 11:45-1.txt,5073,5:35 오흡>비벤>토시래 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0009,2024-05-24,금,14:15,u1310,한동대,학교,포항역,포항역,,2,Talk_2026.9.15 11:45-1.txt,5745,5/24 18:15 한동 > 포항역 (18:55 기차) <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0010,2024-05-27,월,10:39,u0441,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,6318,11:00 유야>오흡 카풀 톡방 >> 5명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
