request_id,record_status,date,weekday,posted_time,origin,origin_category,dest,dest_category,waypoints,waypoints_category,stop_count,mid_dropoff_ok,mid_boarding_issue,via_train,train_time,party_current_original,party_target_original,party_current_clean,party_target_clean,party_parse_confidence,mentions_taxi,mentions_carpool,has_contact,author_id,source_file,source_line,source_match_score,raw_text_redacted,dq_flags,review_required,analytics_ready,parser_version
req_000001,existing_csv,2024-05-04,토,01:10,오흡,학교,토시래,원룸촌,,,2,False,False,False,,,,,,none,True,False,True,u0019,Talk_2026.9.15 11:45-1.txt,8,0.995,1:30 택시 오흡->토시래 <PHONE>,raw_text_contamination,False,True,audit-v1
req_000002,existing_csv,2024-05-04,토,01:28,5월 4일 13:20 택시 택시정류장,미분류,포항역,포항역,,,2,False,False,True,13:20,,,,,none,True,False,True,u1876,Talk_2026.9.15 11:45-1.txt,13,1.0,5월 4일(토) 13:20 택시 (14:03 기차) 택시정류장 -> 포항역 <PHONE>,route_field_noise;unclassified_endpoint,True,False,audit-v1
req_000003,existing_csv,2024-05-04,토,02:09,학교,학교,양덕,원룸촌,,,2,False,False,False,,,,,,none,True,False,True,u2020,Talk_2026.9.15 11:45-1.txt,16,1.0,3:00 택시 학교 -> 양덕 <PHONE> 집갑시다!,,False,True,audit-v1
req_000004,existing_csv,2024-05-04,토,02:55,한동대,학교,고속버스터미널,터미널,,,2,False,False,False,,1,4,1,4,high,False,False,True,u1659,Talk_2026.9.15 11:45-1.txt,20,1.0,5/4(토) 한동대 -> 고속버스터미널 오전 10:00 <PHONE> (1/4),,False,True,audit-v1
req_000005,existing_csv,2024-05-04,토,02:57,택정,학교,포항역,포항역,,,2,False,False,True,5:05,3,4,2,2,high,True,False,True,u1785,Talk_2026.9.15 11:45-1.txt,25,1.0,5월4일(토) 오전 5시5분 택정 > 포항역ktx 택시(3/4)캐리어(2/2) <PHONE>,party_parse_review,False,True,audit-v1
req_000006,existing_csv,2024-05-04,토,03:05,택정,학교,시외버스터미널,터미널,,,2,False,False,False,,,,,,none,False,False,True,u1209,Talk_2026.9.15 11:45-1.txt,30,1.0,5/4 토 7:50분 택정 -> 시외버스터미널 <PHONE>,,False,True,audit-v1
req_000007,existing_csv,2024-05-04,토,07:06,양덕,원룸촌,시외버스터미널,터미널,,,2,False,False,False,,,,,,none,False,False,True,u1468,Talk_2026.9.15 11:45-1.txt,34,1.0,5/4 (토) 오전 9:20 양덕 > 시외버스터미널 <PHONE>,,False,True,audit-v1
req_000008,existing_csv,2024-05-04,토,07:26,택정,학교,시외버스터미널,터미널,,,2,False,False,False,,,,,,none,True,False,False,u0988,Talk_2026.9.15 11:45-1.txt,38,1.0,5/4(토) 택정 > 시외버스터미널 오전 10:40 🚘시외버스터미널 택시🚘 <URL>,,False,True,audit-v1
req_000009,existing_csv,2024-05-04,토,07:36,택정,학교,고속버스터미널,터미널,,,2,False,False,False,,,,,,none,True,False,True,u1309,Talk_2026.9.15 11:45-1.txt,44,1.0,08:25 택시 택정 -> 고속버스터미널 (9시 버스) <PHONE>,,False,True,audit-v1
req_000010,existing_csv,2024-05-04,토,08:12,택정,학교,포항역,포항역,,,2,False,False,True,09:00,,,,,none,True,False,True,u0728,Talk_2026.9.15 11:45-1.txt,47,1.0,"09: 00 택시 택정 —> 포항역 (ktx,srt) <PHONE>",,False,True,audit-v1
req_000011,existing_csv,2024-05-04,토,09:00,양덕,원룸촌,포항역,포항역,,,2,False,False,False,,,,,,none,True,False,True,u0919,Talk_2026.9.15 11:45-1.txt,50,0.995,09:40 양덕 - 포항역 택시 <PHONE>,raw_text_contamination,False,True,audit-v1
req_000012,existing_csv,2024-05-04,토,09:26,학교,학교,고속버스터미널,터미널,,,2,False,False,False,,,,,,none,True,False,True,u2035,Talk_2026.9.15 11:45-1.txt,54,1.0,12:15 택시 학교-고속버스터미널 <PHONE>,,False,True,audit-v1
req_000013,existing_csv,2024-05-04,토,09:47,갈상,미분류,시외버스터미널,터미널,,,2,False,False,False,,,,,,none,False,False,True,u0590,Talk_2026.9.15 11:45-1.txt,57,1.0,갈상->시외버스터미널 곧 10시 <PHONE>,unclassified_endpoint,True,False,audit-v1
req_000014,existing_csv,2024-05-04,토,10:06,한동대,학교,시외버스터미널,터미널,,,2,False,False,False,,,,,,none,False,False,True,u1506,Talk_2026.9.15 11:45-1.txt,60,1.0,14:00 한동대 -> 시외버스터미널 <PHONE>,,False,True,audit-v1
req_000015,existing_csv,2024-05-04,토,10:10,10:40 꼰테,미분류,야공 찬카🚘 <URL>,미분류,,,2,True,False,False,,,,,,none,False,False,False,u1561,Talk_2026.9.15 11:45-1.txt,62,1.0,10:40 꼰테 -> 야공(중간 하차 가능) 찬카🚘 <URL>,route_field_noise;unclassified_endpoint,True,False,audit-v1
req_000016,existing_csv,2024-05-04,토,10:40,한동대,학교,포항역,포항역,,,2,False,False,False,,,,,,none,True,False,True,u0236,Talk_2026.9.15 11:45-1.txt,67,1.0,5월4일(토) 12시 10분 택시(12시 46분 차) 한동대 택정 > 포항역 <PHONE>,,False,True,audit-v1
req_000017,existing_csv,2024-05-04,토,10:45,택정,학교,포항역,포항역,,,2,False,False,True,18:20,,,,,none,True,False,True,u1359,Talk_2026.9.15 11:45-1.txt,70,1.0,5월4일(토) 18:20 택시 (18:55 기차) 택정 > 포항역 <PHONE>,,False,True,audit-v1
req_000018,existing_csv,2024-05-04,토,11:11,택정,학교,포항역,포항역,,,2,False,False,True,17:00,,,,,none,True,False,True,u1156,Talk_2026.9.15 11:45-1.txt,74,1.0,5/4(토) 17:00 택시 (18:00 기차) 택정 > 포항역 <PHONE>,,False,True,audit-v1
req_000019,existing_csv,2024-05-04,토,11:35,택정,학교,포항역,포항역,,,2,False,False,False,,,,,,none,True,False,True,u1115,Talk_2026.9.15 11:45-1.txt,78,1.0,5/4 (토요일) 17:30 택시 택정 -> 포항역 <PHONE>,,False,True,audit-v1
req_000020,existing_csv,2024-05-04,토,12:00,택정,학교,포항역,포항역,,,2,False,False,True,18:00,2,4,2,4,high,True,False,True,u1359,Talk_2026.9.15 11:45-1.txt,83,1.0,5월4일(토) 18:00 택시 (18:55 기차) 택정 > 포항역 <PHONE> (2/4),,False,True,audit-v1
req_000021,existing_csv,2024-05-04,토,12:32,그할마,원룸촌,오석,학교,,,2,False,False,False,,,,,,none,True,False,True,u0307,Talk_2026.9.15 11:45-1.txt,88,1.0,12:40 그할마->오석 택시 <PHONE>,,False,True,audit-v1
req_000022,existing_csv,2024-05-04,토,12:59,양덕,원룸촌,포항역,포항역,,,2,False,False,False,,,,,,none,True,False,True,u1504,Talk_2026.9.15 11:45-1.txt,91,1.0,18:15 양덕->포항역 택시 <PHONE>,,False,True,audit-v1
req_000023,existing_csv,2024-05-04,토,13:16,한동대,학교,포항역,포항역,,,2,False,False,False,,,,,,none,True,False,True,u0924,Talk_2026.9.15 11:45-1.txt,93,1.0,13:30 한동대 -> 포항역 택시 <PHONE>,,False,True,audit-v1
req_000024,existing_csv,2024-05-04,토,13:20,한동대,학교,포항역,포항역,,,2,False,False,False,,,,,,none,True,False,True,u0772,Talk_2026.9.15 11:45-1.txt,95,1.0,15:00 한동대 -> 포항역 택시 <PHONE>,,False,True,audit-v1
req_000025,existing_csv,2024-05-04,토,13:42,학교,학교,유야,원룸촌,,,2,False,False,False,,,,,,none,True,False,True,u0221,Talk_2026.9.15 11:45-1.txt,97,0.995,14시 학교 -> 유야 택시 <PHONE>,raw_text_contamination,False,True,audit-v1
req_000026,existing_csv,2024-05-04,토,13:45,그할마,원룸촌,오석,학교,,,2,False,False,False,,,,,,none,False,True,False,u1761,Talk_2026.9.15 11:45-1.txt,100,1.0,2시 그할마 -> 오석 카풀 <URL>,,False,True,audit-v1
req_000027,existing_csv,2024-05-04,토,13:47,포항역,포항역,한동대,학교,,,2,False,False,False,,,,,,none,False,False,True,u1443,Talk_2026.9.15 11:45-1.txt,102,1.0,5/4 토요일 23시10분 (10분 조정 가능) 포항역 -> 한동대 or 양덕 <PHONE>,,False,True,audit-v1
req_000028,existing_csv,2024-05-04,토,15:36,유야,원룸촌,학교,학교,야멍,원룸촌,3,False,False,False,,,,,,none,False,False,True,u1728,Talk_2026.9.15 11:45-1.txt,108,1.0,4시 30분 유야 야멍 학교 1200 <PHONE>,,False,True,audit-v1
req_000029,existing_csv,2024-05-04,토,16:11,학교,학교,시외버스터미널,터미널,,,2,False,False,False,,,,,,none,True,False,True,u1303,Talk_2026.9.15 11:45-1.txt,112,1.0,5시 학교 -> 시외버스터미널 (택시) <PHONE>,,False,True,audit-v1
req_000030,existing_csv,2024-05-04,토,16:18,시외버스터미널,터미널,그할마,원룸촌,,,2,False,False,False,,,,,,none,True,False,True,u1861,Talk_2026.9.15 11:45-1.txt,115,1.0,오늘 저녁 9시 30분 시외버스터미널->그할마 택시 <PHONE>,,False,True,audit-v1
req_000031,existing_csv,2024-05-04,토,16:25,택정,학교,포항역,포항역,,,2,False,False,True,17:25,,,,,none,True,False,True,u0312,Talk_2026.9.15 11:45-1.txt,117,1.0,5/4 17:25 (18:00 기차) 택정 -> 포항역 택시 <PHONE>,,False,True,audit-v1
req_000032,existing_csv,2024-05-04,토,16:59,포항역,포항역,한동대,학교,,,2,False,False,False,,,,,,none,False,False,True,u2057,Talk_2026.9.15 11:45-1.txt,120,1.0,5/4 토요일 17시 45분 포항역 -> 한동대 <PHONE>,,False,True,audit-v1
req_000033,existing_csv,2024-05-04,토,17:19,양덕,원룸촌,포항역,포항역,,,2,False,False,False,,,,,,none,True,False,True,u1504,Talk_2026.9.15 11:45-1.txt,125,1.0,18:15 양덕->포항역 택시 <PHONE>,,False,True,audit-v1
req_000034,existing_csv,2024-05-04,토,18:04,포항역,포항역,한동대,학교,,,2,False,False,False,,2,4,2,4,high,False,False,True,u1443,Talk_2026.9.15 11:45-1.txt,127,1.0,5/4 토요일 23시10분 (10분 조정 가능) 포항역 -> 한동대 (2/4) <PHONE>,,False,True,audit-v1
